"identificador","nombre","baños","dormitorios","precio"
1358042,"Woonboot in Amsterdam, Free parking","1.0",1,60
653883,"countryside house in amsterdam","1.0",2,99
854060,"Romantic Garden House & free bikes","1.0",1,70
595898,"Romantic houseboat in Amsterdam","1.0",1,90
5766152,"Boat house just outside Amsterdam","1.0",4,220
12839282,"Unique Eco Tiny House on Wheels with breakfast","1.0",1,90
4658790,"big apartment with great view","1.0",2,120
3637400,"Nice & cosy room close to the citycenter","1.0",1,45
1375612,"Your own apartment on wheels","1.0",1,74
12258399,"Great full house, free parking!","1.0",4,102
3896355,"Private  parking, 10min from Center","1.0",1,64
3327727,"Modern Family Home - Eternal Youth!","1.0",3,125
7822985,"Luxury apartment for 4 persons","1.0",2,150
5897261,"Your double apartment on wheels","1.0",1,70
13090950,"Modern house with garden","1.0",2,100
13721210,"Away from the crowds but close to the city centre","1.0",3,150
9192196,"Blauwepolder Zunderdorp 2","1.0",0,65
7769055,"Mini-country cottage, 15 min. to Amsterdam Centre","1.0",2,100
2842228,"Your own appartment on wheels","1.0",1,69
13776069,"Family House Amsterdam Free Parking","1.0",2,120
13697534,"Charming spacious apartment","1.0",2,85
4697911,"family home with garden","1.5",4,130
7241009,"Family House nearby city centre","1.0",3,181
3710782,"Eco Barge - authentic&adventurous","1.0",1,90
6303583,"Family house in child-friendly area","1.0",4,160
3753071,"Best of 2 worlds in Amsterdam !","1.0",1,75
11647054,"Te huur 1 kamer studio","1.0",0,90
10538029,"Cottage in country side Amsterdam","1.0",2,90
12585183,"Amsterdam, city villa, free P","1.0",3,226
6611814,"Your own birdsnest on wheels","1.0",1,68
3279250,"Farmhouse 1 km from Amsterdam","1.0",3,200
12335572,"Your own waggon at the cow paradise","1.0",2,70
3539616,"kamer in dijkhuis aan  IJsselmeer","1.0",1,80
839727,"Authentic ship ""Vrouwe Johanna""","1.0",3,360
13630140,"COZY holiday apt. located trendy north + garden!","1.0",1,79
13653088,"Prachtig appartement Amsterdam Noord","1.0",2,85
2719038,"Little House close to Amsterdam","1.0",2,85
9161106,"Blauwepolder  Zunderdorp 1","1.0",0,65
4482546,"Family-friendly freestanding dykehouse Amsterdam","1.5",2,150
4969675,"Family dike house with great view","2.0",2,150
6850043,"gerenoveerd woonschip-tjalk (1908)","1.0",3,99
11859831,"SpazioArte Amsterdam","1.0",1,60
9959224,"room for 2 people, garage included","1.0",1,65
3150016,"Cosy B&B in 'rural Amsterdam'","1.0",1,80
2353432,"Lovely house +garden +free parking!","1.0",3,150
13561575,"Amsterdam Noord... the hip side of the city","1.5",1,69
8811789,"Farm 1840, 15 minutes from the centre of Amsterdam","1.0",3,208
6943965,"Spacious family house","2.0",4,140
13268428,"Spacious room only 15 min. to centre of Amsterdam","1.0",1,55
12251311,"Nature & the city @ your fingertips","1.0",3,95
8319109,"Modern, spacious house near centre","1.0",1,300
13609091,"Great house at Durgerdammerdijk + free parking","1.0",3,111
8751830,"Clean room in Amsterdam","1.0",1,65
12578052,"2bdr appt 15 min. to centre + gardn","1.0",2,120
8649281,"Big family house 12 minutes from CS","1.0",3,55
2550665,"*Beautiful *lakeside*family-house","2.0",3,171
12309072,"Amsterdam Noord","1.5",1,69
6417023,"Amsterdam Countryside. Family house","1.0",4,75
6484413,"NICE APARTMENT IN AMSTERDAM NORTH","1.0",2,175
13199738,"Family house at dyke + great garden + free parking","1.0",2,120
10479859,"House with view on the river!","2.0",4,255
13526838,"Baanakkerspark amsterdam","1.0",2,175
3990045,"Groot, modern, mooi gezinshuis.","1.0",3,200
5595867,"Spacious room with private bathroom","1.0",1,60
12783817,"24 m2 room with balcony","1.0",1,69
13646589,"STUNNING family apt with balcony!","1.0",3,149
2940577,"Detached family home in center","1.0",3,168
2613187,"B&B DE ZWARTE KAT","1.0",1,68
12868845,"Room for the easy traveller","1.0",1,50
3561418,"Charming dikehouse A'dam North (2 kayaks/1 boat)","1.0",2,139
613088,"Your own cottage in the countryside","1.0",1,78
11556728,"Gypsy Waggon - Your villa on wheels","0.0",1,91
3462884,"Private Modern Room + Sunny Terrace","1.5",1,60
11496001,"Super locatie","1.0",1,146
13269364,"Comfortable room 15 minutes to Amsterdam centre.","1.0",1,55
13424779,"Nice family apartment in Amsterdam","1.0",3,100
12553894,"Great family house + roof terrace","1.0",4,100
3036359,"Cosy House Boat, well located","1.0",0,81
13127944,"Sunny family home 10 minutes from citycentre","1.0",3,140
13424878,"Great family villa in hip north part of Amsterdam","1.0",4,100
6680635,"Lovely family house in quiet street","1.0",4,125
10868311,"Large Clean & Modern Room for rent","1.0",1,60
1168916,"Lovely Country side house Amsterdam","1.0",2,120
9556918,"Romantic attic room with free WiFi","1.0",1,50
515088,"Familyfriendly Suite incl breakfast","1.0",1,120
6901054,"NICE AMSTERDAM! Familyhome!!","1.0",4,165
13324378,"GREAT family apt. with a big garden + trampoline!","2.0",3,149
7720233,"Family house between city & nature","1.0",3,125
9752272,"Kas and Hannah's cosy home","1.0",1,80
2864823,"Room own entrance with sunny garden","1.0",1,55
9555135,"Stunning Houseboat in Amsterdam","1.5",3,180
8162480,"Spacious Apartment Uptown Amsterdam","1.0",2,169
12666580,"Amazing family house + free parking","1.0",2,120
8081294,"Room in our new build farm/villa","1.0",1,95
12207691,"Spacey room for 2","1.0",1,63
12829995,"Spacious house with sunny garden","1.5",3,149
13026508,"Cozy apartment with nice view!","1.0",1,80
3785760,"Spacious Room","1.0",1,70
7160841,"Your  waggon at the cows paradise","1.0",1,74
9389404,"Rustig gelegen studio in Durgerdam","1.0",1,90
10502510,"Small room near to the center","1.0",1,37
9879725,"Spacious apartment, amazing view","1.0",2,65
12829311,"90M2 appartment in Amsterdam","1.0",2,140
13353566,"City & Rural life combined. Very child friendly!","2.0",2,175
11976753,"Spacious house with garden (perfect for family's!)","2.0",3,175
7714025,"Nice room","1.0",1,50
13647211,"NEWLY RENOVATED apartment + FREE PARKING","1.0",2,140
3259374,"De Zwaluwen (Ransdorp)","1.5",3,140
7839527,"Family house (170m2) with garden","2.0",3,149
12761226,"Nice Room in a spacious appartment","1.0",1,65
11918974,"Medium room near to the center","1.0",1,56
10172405,"Charming wooden house with lakeview","1.5",1,150
13678506,"Compleet appartement met tuin!","1.0",1,62
4169219,"Apartment with garden &free parking","1.0",1,75
2667413,"Family house on shores Amsterdam IJ","1.5",4,190
13414785,"房间空旷舒适，阿姆斯特丹北坐公交到中心站十五分钟左右，步行到Dam广场","1.0",1,45
2921346,"Family house in Amsterdam","1.0",4,150
3180391,"B&B in 't Hooi","1.0",1,125
10758488,"Lovely family home with garden - free parking","1.5",3,100
13805780,"Nice and Sunny room for rent","1.5",1,49
11446455,"Spacious waterfront house w garden","3.0",4,226
6858428,"Romantic Houseboat","1.0",0,80
5121714,"200m2 met grote tuin en boomhut!","2.0",4,200
13444064,"Spacious apartment/ calm area yet close to center","1.5",2,181
1384479,"Mirjam's place 85,- apartment","1.0",1,99
3155284,"Your cottage in the countryside","1.0",1,78
761411,"Amsterdam Apartment - Clean Quiet Safe","1.0",1,46
11459382,"Simple room with double bed","1.0",1,53
13148907,"Light room in Amsterdam North /20bus min from CS","1.0",1,62
886192,"Luxurious and spacious mobile home","1.0",2,90
6463787,"Wooden Garden House","1.0",1,85
13311521,"Double bedroom in a townhouse in Amsterdam North","1.5",1,60
13508105,"Design Loft XL - Top End - 5 star","2.0",2,226
13049566,"Lovely familyhouse with garden and free parking","1.0",4,120
13540292,"Large house with garden at famous Durgerdam","1.0",1,130
8675811,"3 ROOMappartement @ Buikslotermeerplein North","1.0",2,80
5707655,"Lovely Room with Garden","1.0",1,85
11645848,"Relaxed and spacious family house","1.0",3,250
11015568,"Cosy appartment near A'dam central","1.0",1,87
5216536,"Loft in parc in front of a pond","1.0",1,112
13145222,"Detached family house with huge sunny garden","2.0",2,150
6296657,"Light family house in Amsterdam","1.0",4,251
7935029,"B&B Bloom, Amsterdam","1.0",2,91
1020573,"Stylish guesthouse Amsterdam","1.0",1,130
7122373,"Room for 2 in cozy appartment","1.0",1,55
9474404,"homey room for 1","1.0",1,38
3346620,"Amsterdam Apartment - Clean Quiet Safe 2","1.0",1,46
12749934,"locals","1.0",1,80
1338633,"Green Space and Calm in Amsterdam","1.0",1,59
4983515,"Staying on the farm!","2.0",3,195
5409737,"cottage in Amsterdam","1.0",0,95
264628,"Lovely Charming House in Amsterdam!",,1,100
8583977,"Spacious room near to the center","1.0",1,58
12387233,"Comfortable family vacation home","1.0",2,511
11240348,"Great room","1.0",1,59
13664437,"Great house at dyke with amazing garden by water","1.0",2,100
12081447,"Lovely house, very big garden.","2.0",3,139
8491286,"Hidden gem: Amsterdam North","1.0",1,75
7049460,"Family house with garden NDSM","1.0",2,89
6834902,"Cosy house in classic GardenVillage","1.0",3,99
13824948,"Two rooms in new appartment in Amsterdam","1.0",2,69
5713368,"Beautiful industrial loft","2.0",4,300
12895633,"Fantastic Villa along side water","1.0",1,220
11558669,"Beautiful Houseboat with Big Garden","1.0",3,150
8921549,"The green Hornet + 2 free bikes","1.0",1,40
12917312,"Fantastic room in a villa","1.0",1,74
10823505,"Gezinswoning met 4 slaapkamers","1.0",4,120
7739393,"Charming house with sunny garden","1.0",2,100
3819951,"Cosy& new Home -Amsterdam NDSM area","1.0",3,100
3942085,"Private room in Amsterdam","1.0",1,35
6223768,"Cozy gardenhouse in Amsterdam","1.0",0,90
13609845,"Stay at my relaxing apartment in Amsterdam-Noord!","1.0",1,85
2531121,"Romantic Fishing-Boat +2 free bikes","1.0",2,49
13278086,"Quiet, spacious house close to NDSM & City-Centre","1.0",3,100
13737217,"Cosy circus wagon with great view, close to ferry","1.0",1,75
8378116,"Dutch Flower House + 2 free bikes","1.0",1,60
5507178,"Quiet & central at the same time","1.0",3,150
7036515,"Amsterdam off the beaten track","1.0",4,100
1708244,"Amsterdam privat spacious room NDSM","1.0",1,75
4961851,"Spacious and Cozy Apartment","1.0",1,112
13314104,"Spacious room for rent in Amsterdam-Noord","1.0",1,45
8885322,"Great Family House with garden","1.5",2,150
11615233,"Gorgeous dike house close to centre","3.0",4,111
6982667,"Beautiful Houseboat wth Lush Garden","1.0",2,191
13288525,"COZY apt. with terrace, vibrant trendy north!","1.0",1,79
7306822,"room for 2 person","1.0",1,70
884252,"B&B Single room with garden","1.0",1,65
12384701,"Modern cosy terracehouse","1.0",2,149
9074767,"Nice and quiet appartment!:)","1.0",1,70
1833963,"Private shower & Free Parking!","1.0",1,55
9599988,"Spacious room,free parking,garden,2 bikes provided","1.5",1,45
2910674,"Uniek gelegen familiehuis","1.0",4,175
12062398,"Couch to rent","0.5",1,70
12839333,"Beautiful green city cottage","1.5",1,70
916850,"Urban Villa, bright and spacious!","1.0",3,195
3144955,"Cozy Chicken Caravan + 2 free bikes","1.0",1,40
8058674,"The Dutch Lion & 2 free bikes","2.0",1,50
10582829,"Family-house near town ánd nature","2.0",4,140
8648283,"2 bedroom house","1.0",2,195
12776567,"House nearby NDSM in Amsterdam","1.0",1,80
4257245,"Room with living near NDSM","1.0",1,79
6980918,"Modern Apartment w Cat (weekly & monthly discount)","1.0",1,70
9269326,"Relax in Quiet Comfy Style","1.5",1,55
6811699,"The Sailing Dutchman + 2 free bikes","1.0",1,40
5403528,"Fijn huis in rustige buurt","1.0",3,100
8385328,"Beautiful dike house in Amsterdam","2.0",3,175
12120837,"Renting out  room with 2 mattresses","1.0",1,70
13035842,"Nice room in quiet and green location","1.0",1,90
3568357,"Spacious and light A'dam apartment","1.0",1,75
13431496,"Leuke gezinswoning met ruime tuin.","1.0",3,90
5403090,"Nice room with breakfast for 2 p.","0.5",1,49
10580323,"Autonome woning","1.0",1,74
4657808,"Beautiful Spacious House","1.0",2,90
1928474,"NDSM Amsterdam North, for families","1.0",4,111
9366344,"Charming house/ Free parking","1.0",2,81
8317188,"Cozy house 2br with BABYROOM","1.0",3,125
13723534,"Nice spacious house with garden in Amsterdam","1.0",3,85
6546899,"Lovely house - NDSM free parking","1.5",2,152
6022379,"Be Home in Amsterdam Noord +parking","1.0",2,120
13493999,"Cosy Sunny Caravan Amsterdam Noord","0.5",1,70
13330153,"Big family house @ industrial wharf area Amsterdam","1.0",4,175
10086088,"Luxurious room near trendy NDSM!!","1.0",1,75
8840817,"Cute Caravan + 2 free bikes","1.0",1,40
13615855,"nice appartment with beautiful garden","1.0",2,80
9949257,"Familyhouse in garden village","1.0",2,95
11460770,"FREE TRAVEL TO CITY CENTRE : Room B","1.0",1,65
9986641,"Nice and modern appartment in North","1.0",1,58
8020016,"Fijne kamer, gratis parkeren!","1.0",1,52
2056256,"Family house in Amsterdam Noord","1.0",3,219
9788727,"colourful room, free parking,garden","1.5",1,45
4282686,"The North is the Place to Be !","1.0",1,62
874340,"The Room Upstairs - Free parking","1.0",1,65
9132701,"Design studio appartment Amsterdam","1.0",0,85
12145761,"House with garden at trending NDSM!","1.0",1,100
10181725,"new year special!","1.5",1,150
12735515,"Luxurious apartment in Amsterdam","1.0",1,80
12635696,"STUNNING family home + terrace!","1.5",4,149
11522276,"Family house","1.5",4,220
6770259,"Private & stylish garden guesthouse","1.0",1,139
9358665,"Privékamer in eensgezinswoning","1.0",1,65
9555221,"Heerlijk rustige kamer","1.0",1,77
9424671,"Hist. Monument 15min from Centr. St","1.0",2,149
6344463,"Volledig Appartement te Amsterdam","1.0",3,171
7097981,"Family House with big garden","1.0",3,200
4278312,"FREE TRAVEL TO CITY CENTRE + WIFI","1.0",1,80
12668957,"Modern apartment, Amsterdam North","1.0",2,80
3492869,"Charming little red-brick house","1.0",3,99
7456687,"Family-house Amsterdam Noord","1.0",4,114
13132427,"Spacious family house (15 min from city center)","1.5",3,210
6212033,"Beautiful luxurious Loft","1.0",1,95
3700218,"Picturesque, quiet, free parking","1.0",1,70
10601221,"Cosy full house in calm area","1.0",1,100
6963313,"A ROOM WITH A VIEW (OVER THE WATER)","1.0",1,50
12206076,"Charming house with big garden","2.0",2,180
13090802,"Spacious house with 2 bedrooms + garden!","1.0",3,149
13025223,"Family home with lovely garden","1.0",3,99
13680265,"LOVELY family home with sunny garden!","1.5",3,149
1064499,"Apartment Amsterdam with garden","1.0",2,50
1828391,"Great house, 10 min to Centre","1.0",4,200
933207,"Blue (bridal) guestroom/canopybed",,1,105
12959637,"Big room Amsterdam oosterlengte","1.0",1,36
2735075,"A dike house with view on a pasture","1.0",2,181
5388929,"Amsterdam North, hip and happening","1.0",1,65
9910712,"Characteristic Houseboat (4p)","1.0",3,93
2013595,"Cozy little house in trendy north","1.0",2,95
4208249,"Groundfloor apartment with garden","1.0",1,64
12662286,"Amsterdam-noord free parking","1.0",1,65
1291054,"The Room Downstairs - Free parking","1.5",1,65
4338297,"Family house with big garden","1.0",3,195
6828574,"House with garden, 15 min downtown.","2.0",3,70
13611328,"Quiet room in cozy apartment at upcoming Noord","1.5",1,47
5812505,"AMAZING FLOATING HOUSE IN AMSTERDAM","1.5",2,216
12300265,"Quaint boat in Amsterdam North","0.5",2,50
9613135,"House with garden. Near centre","1.0",1,59
2338618,"Vintage Camper + 2 free bikes","1.0",1,40
5223111,"B & B room with a green view in Amsterdam","1.0",1,65
11251439,"Cozy appartment, 77m2, free parking","1.0",2,120
11946090,"Campsterdam Riverside Camp","3.0",10,100
667305,"Green, sportive experience in A'dam","1.0",0,111
2829905,"Simple room FREE PARKING & WIFI","1.0",1,50
2797128,"Big family house-10 min. center","1.0",3,120
10562923,"Complete house for rent, 2 bedrooms","1.0",2,150
11938685,"Cozy, quiet room w/yard & Jacuzzi","1.5",1,35
10562799,"Country View House","1.0",2,110
10529958,"Cozy studio! Just 20 minutes away","1.5",0,72
11446590,"Lovely room free parking and bike","1.0",1,62
7448083,"Ground Floor Studio in A'dam Noord","1.0",0,59
9708720,"Sunny and spacious house + garden!","1.5",2,99
9708704,"Comfortable, warm, light room +bike","1.5",1,49
10036375,"Beautiful and spacious room de luxe","0.5",1,49
3385173,"Spacious new house near city centre","2.0",4,241
4630306,"Bright and cosy house","1.0",2,75
6300592,"Double Room New Centraal","3.0",1,60
10854467,"Light room, house with nice garden","1.0",1,50
10725464,"Sfeervol en ruim familiehuis","1.0",4,191
4661466,"Sleeping Beauty + 2 free bikes","1.5",2,40
7512251,"Amsterdam hotspot with free parking","1.0",1,100
12917445,"Fantastic room in a villa","1.0",1,37
13671821,"A romantic, comfortable sailing boat","1.0",2,95
1155432,"Luxury houseboat Amsterdam canal i","2.0",2,160
13649201,"Lovely house in calm area + garden + free parking","1.0",3,80
1383297,"Family home + garden - Free Parking","1.5",3,300
9443999,"Gezellig 1 gezinswoning met tuin","1.0",1,95
12917384,"Fantastic room in a villa","1.0",1,49
6429875,"Spacious house for family / friends","2.0",2,155
12917508,"Fantastic private room in a villa","1.0",1,81
12141525,"Shroom Room - FireJuice Amsterdam","1.0",1,70
12130717,"2slaapkamers Free parking Amsterdam","1.0",2,110
12917128,"Fantastic room in a villa","1.0",1,50
7705953,"Light & clean app. 75m2 for couple","1.0",1,85
3937891,"Amsterdam, loft, free parking, buss","1.0",1,136
9278051,"Bright & Artsy Maisonette Amsterdam","1.5",1,110
5215009,"Top-floor studio in the green A'dam","1.0",0,60
12357967,"Charming house, recently renovated","2.0",2,150
70598,"Attic room with doublebed available","1.0",1,30
8252909,"Agua Room - FireJuice Amsterdam","1.0",1,70
889702,"Chic apartment 2","1.0",2,89
4952268,"Wooden houseboat, unique location","1.0",2,70
5312713,"ROOM WITH GREAT VIEW OVER THE WATER","1.0",1,75
2888202,"A charming Turkish Dutch house","1.0",1,70
8982238,"Lovely home in Amsterdam","1.0",2,79
13012178,"Beautiful house close to Amsterdam City Centre","2.0",4,140
10293248,"Charmant en ruim huis met tuin","1.0",2,150
2460851,"cousy place in north Amsterdam","1.0",2,95
7242227,"Spacious Place with a fancy garden","1.0",1,45
6392669,"Vrijstaand huis in Amsterdam!","1.0",3,140
2362966,"Unique studio in old horse stables","1.0",0,100
2592291,"Large clean house by the canal","1.0",2,146
8694219,"2 rooms for max 4 people","1.0",1,85
2097548,"Big Familyhouse+ bikes 10 mn centre","1.0",2,150
12976501,"Te huur Nieuwe studio","1.0",0,85
7669476,"Private Room in Beautiful House","1.5",1,50
12977660,"Modern 30's house NDSM Amsterdam","1.0",2,85
6587565,"Blue House Amsterdam, free parking","1.0",1,90
4949644,"Private floor in 18th century house - Min 4 days -","1.0",1,99
1016999,"Central and rustic situated B&B","1.0",1,55
984134,"Central and rustic situated B&B","1.0",2,111
7111455,"Private 1st floor room&bathroom","1.0",1,71
13337449,"Lovely house garden front and back!","1.0",3,100
4752191,"Romantic Circus wagon +2 free bikes","1.0",1,45
8618487,"Volledig huis 10 minuten vanaf NDSM","1.0",2,111
13554389,"Apartment Amsterdam North","2.0",2,75
3465890,"Spacious whole apartment with vide","1.0",2,120
11476542,"Sunny+Quiet in Creative North near Central Station","1.5",1,79
7816866,"B&B HutSpot , 2","1.0",1,74
2094811,"Black Jack Penthouse Amsterdam","5.0",3,501
5456694,"Cute little house in upcoming area","1.0",1,50
2418369,"Free parking, sunny 80m2 app!","1.5",1,110
2516920,"New apartment near Central Station","1.0",2,100
3253682,"Amazing loft on the river","2.0",2,70
2517394,"Charming house near citycenter","1.0",2,95
1057380,"Cozy, Creative and Monumental House","1.0",1,105
12950285,"Quiet Central Maisonette","1.5",2,140
4492084,"Family house (free parking)","1.0",2,125
12475352,"penthouses Amsterdam","8.0",0,100
3113368,"Beautiful house surrounded by green","1.0",2,130
10111564,"Cabins on a Ship in Amsterdam!!!","6.0",10,60
2230007,"Modern @ old shipyard ""Het Dok""","1.5",2,155
13420185,"Good place in Amsterdam North near the ferry","1.0",1,80
9398819,"Luxurious Sailing Ship Amsterdam!!!","5.0",10,60
2967487,"A good sleep and sail amsterdam","0.0",1,50
12328178,"Sunny corner house, garden, prime location!","1.0",1,70
2534399,"Tuinhuis (garden House)","1.0",0,70
876543,"an unique cheap bed and breakfast","1.0",1,150
2116719,"Characteristic dyke house","2.0",1,100
7232335,"The DJ Lounge! Free parking incl.","1.0",2,150
12491825,"Friendly dike house in Amsterdam","1.0",3,105
5424882,"Spacious VW Camper close to center","0.5",2,90
12462276,"Sailing Yacht | Perfect stay","2.0",3,451
4207389,"Love nest in crane -  Mystique","1.0",1,436
1631642,"Bright place near A'dam Central","1.0",1,69
634671,"Quiet Studioapartment, Free Parking","1.0",1,95
9338308,"Spacious apartment, stunning views","1.5",3,149
8225530,"Wondelful boat on amazing spot !!!","0.5",0,60
5323628,"Beautiful Westfalia VW Camper","0.5",2,60
13460110,"Rooftop apartment with a terrace in Amsterdam.","1.0",1,95
10651327,"Attic room","1.5",1,50
9920316,"Cozy Dutch Room close to Central","3.0",1,75
4538586,"Cosy house in Amsterdam North","1.0",1,65
3845021,"Cozy monumental house in Amsterdam","1.0",1,99
2235666,"Lovely apartment & free parking","1.0",2,115
664697,"Design Waterfront flat near station","1.5",1,87
13511098,"Boat in centre (though quiet area) of Amsterdam","1.0",2,175
3282245,"Oasis in heart of City-free parking","1.0",1,99
7783000,"Spacious room - free parking!","1.5",1,68
2558975,"Nice home in Amsterdam-free park","1.0",3,95
4801914,"Nice Room for Amsterdam Central","1.0",1,70
11873259,"Sleep on a Sailing Yacht !","2.0",3,175
1043557,"Houseboat,garden,center,freeparking","1.0",1,146
12775251,"Nice Marina Room","1.0",1,150
6513738,"Sfeervolle woonboot in Amsterdam","1.0",2,200
2976795,"Large luxury Studio FREE parking","1.0",0,111
1081307,"Landelijk in de stad (free parking)","1.0",2,80
2481241,"Cosy apartment with free parking","1.0",1,85
10719155,"Top dykehouse near centre + free P","1.0",3,181
1308247,"Cute litle house in Amsterdam Noord","1.0",1,75
13171116,"Maisonette with balcony + free parking","1.0",2,100
9206180,"Family house in Amsterdam, near CS","1.0",2,175
2228206,"Modern @ old shipyard ""Het Dok""","1.5",1,73
5614235,"De Slak Amsterdam","0.5",1,45
13303591,"Great room with garden near center of Amsterdam","1.0",1,80
5635872,"Light and quite apartment","1.5",4,85
6814010,"Eccentric Barge + Bikes","0.5",0,55
6584600,"Adventure on a boat","1.0",2,115
10418440,"Lovely room & house, free parking!","1.0",1,89
4585557,"Cosy Apartment + 2 Bikes&Parking","1.0",1,69
5504121,"Fijn huis aan de rand van A'dam","1.0",3,125
1670232,"1 private and confortable room","1.0",1,70
6355987,"charming dikehouse / green view","1.0",2,125
12090314,"Cozy home and a friendly host","1.0",1,78
12942279,"Woonboot in Amsterdam","1.0",1,125
5667513,"A typical Dutch house, in the north","1.5",1,95
3308196,"Sunny house with great view","1.5",4,165
5208586,"Simpel Room near city center/ferry","1.0",1,50
13729170,"Conveniently located bright appartment","1.0",1,84
9990099,"Cabins Available on a Tall Ship!!!","6.0",10,60
425277,"Sunny, clean & spacious Appartment","1.0",2,146
13794524,"Family house at dyke + lovely garden +free parking","1.0",3,130
12276725,"Houseboat in Amsterdam","1.0",1,150
1406631,"PurmerCasa.nl house incl. parking","1.0",2,110
3045003,"House in Amsterdam, 5 min. from CS","1.0",3,175
1733772,"HOUSEBOAT IN NATURE 15 MIN FROM CS!","1.0",1,95
3339384,"Lovely home at a rustic street","1.0",2,99
8347507,"Lovely house & garden, free parking","1.0",2,149
12922121,"Student room","1.0",1,25
3896322,"close to the center","1.0",1,89
4518120,"Cosy old dutch house with garden.","1.0",2,80
5993888,"Creative, comfortable & central apt","1.0",1,99
13759829,"Black Jack Suites, North - Amsterdam","1.5",1,95
13693077,"Woonhuis te huur nabij Centrum Amsterdam","1.0",3,150
5711888,"Cosy houseboat in artistic centre!","1.0",1,95
8122433,"small house nearby centre","1.0",1,85
913470,"Family house with a garden (112m2)","1.0",3,100
13759359,"Black Jack Suite, South - Amsterdam","1.5",1,95
